study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,testmouse.started,test.stopped,trials_2.textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
Police,165,0,11,2.005,0.09971179999411106,,,,,,,,,,,,11,0,165,12,,,,,22.473434400046244,,22.462431300082244,22.473434400046244,22.473434400046244,22.590414100093767,2.005,0.09971179999411106,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Poster,166,1,11,2.005,0.11430600006133318,,,,,,,,,,,,11,1,166,14,,,,,22.607127299997956,,22.594444900052622,22.607127299997956,22.607127299997956,22.72594580007717,2.005,0.11430600006133318,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Pastry,167,2,11,2.005,0.08230020001064986,,,,,,,,,,,,11,2,167,9,,,,,22.740272600087337,,22.729699400020763,22.740272600087337,22.740272600087337,22.82650750002358,2.005,0.08230020001064986,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
cushion,168,3,11,2.005,0.11567109997849911,,,,,,,,,,,,11,3,168,1,,,,,22.85546960006468,,22.830343200010248,22.85546960006468,22.85546960006468,22.95781709998846,2.005,0.11567109997849911,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Case,169,4,11,2.005,0.1323638999601826,,,,,,,,,,,,11,4,169,10,,,,,22.97478490008507,,22.96051470004022,22.97478490008507,22.97478490008507,23.107835600036196,2.005,0.1323638999601826,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
board,170,5,11,2.005,0.11223500000778586,,,,,,,,,,,,11,5,170,4,,,,,23.123599000042304,,23.111791500006802,23.123599000042304,23.123599000042304,23.24217620003037,2.005,0.11223500000778586,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Keys,171,6,11,2.005,0.08243089995812625,,,,,,,,,,,,11,6,171,13,,,,,23.257018700009212,,23.244904500083067,23.257018700009212,23.257018700009212,23.358260600012727,2.005,0.08243089995812625,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
Chart,172,7,11,2.005,0.09677689999807626,,,,,,,,,,,,11,7,172,6,,,,,23.388666999991983,,23.362831800011918,23.388666999991983,23.388666999991983,23.47609290003311,2.005,0.09677689999807626,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
phone,173,8,11,2.005,0.11468750005587935,,,,,,,,,,,,11,8,173,2,,,,,23.489172400091775,,23.47891669999808,23.489172400091775,23.489172400091775,23.61013680009637,2.005,0.11468750005587935,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
marble,174,9,11,2.005,0.09906170004978776,,,,,,,,,,,,11,9,174,3,,,,,23.62339070008602,,23.613588000065647,23.62339070008602,23.62339070008602,23.725264100008644,2.005,0.09906170004978776,,,,,,,,,,,,,,,Participant 02,001,2025-10-16_18h28.54.608,Word Priming Experiment,,2025.1.1,118.33213218187181,2025-10-16 18h29.14.005139 +0530,
