stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,1,1.0,8.858782000024803,,8.842887400009204,8.858782000024803,9.34158980002394,9.34158980002394,9.359543500002474,9.641035900014685,10.575706700008595,right,1.0,0,0,1.227120499999728,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
11,1,1.0,10.592250700021395,,10.576022200024454,10.592250700021395,11.075798300007591,11.075798300007591,11.091554500017082,,11.208643899997696,left,-1.0,0,0,0.1268726000271272,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
12,1,1.0,11.225546800007578,,11.208975500019733,11.225546800007578,11.708270600007381,11.708270600007381,11.724554200016428,,11.725214000005508,left,-1.0,1,1,0.012584100011736155,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
13,1,1.0,11.742098900023848,,11.72552910001832,11.742098900023848,12.224947700015036,12.224947700015036,12.241659300023457,12.52541630002088,12.692287100013345,right,1.0,0,0,0.4602616000047419,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
14,1,1.0,12.708574100019177,,12.692601300019305,12.708574100019177,13.19181610000669,13.19181610000669,13.208486700023059,,13.342358200025046,left,-1.0,0,0,0.14206499999272637,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
15,1,1.0,13.358970700006466,,13.34268610001891,13.358970700006466,13.85827060000156,13.85827060000156,13.874728499999037,,13.957711900002323,left,-1.0,1,1,0.09365799999795854,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
16,1,1.0,13.975448700017296,,13.958036800002446,13.975448700017296,14.458708100020885,14.458708100020885,14.475957300019218,,14.575272100017173,right,1.0,0,0,0.1059221999894362,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
17,1,1.0,14.592285899998387,,14.575577900017379,14.592285899998387,15.074986000021454,15.074986000021454,15.091193000000203,15.37598650000291,15.46376070001861,right,1.0,1,1,0.38460100002703257,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
18,1,1.0,15.479378400021233,,15.464263500005472,15.479378400021233,15.975044300023,15.975044300023,15.992050600005314,,16.07539050001651,right,1.0,0,0,0.09815110001363792,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
19,1,1.0,16.092077200009953,,16.075907300022664,16.092077200009953,16.57430020000902,16.57430020000902,16.607846700004302,,16.691983400000026,left,-1.0,1,1,0.10847269999794662,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
20,1,1.0,16.708463400020264,,16.692311400023755,16.708463400020264,17.192048700002488,17.192048700002488,17.20825640001567,,17.392419600015273,right,1.0,0,0,0.19141919998219237,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
21,1,1.0,17.409638900018763,,17.39285530001507,17.409638900018763,17.892338300007395,17.892338300007395,17.908775400021113,,17.97544960002415,left,-1.0,1,1,0.07738489998155273,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
22,1,1.0,17.99158110001008,,17.975772700010566,17.99158110001008,18.4751051000203,18.4751051000203,18.491987600020366,,18.609884400008013,left,-1.0,1,1,0.13422730000456795,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
23,0.5,1.0,18.62502659999882,,18.610185400000773,18.62502659999882,19.112736600014614,19.112736600014614,19.1261340000201,19.42456400001538,19.409422900003847,right,1.0,1,1,0.29076920001534745,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
24,0.5,0.5,19.42456400001538,,19.40973000001395,19.42456400001538,19.908162700012326,19.908162700012326,19.926510999997845,20.20848670002306,20.19310130001395,left,-0.5,1,1,0.27055089999339543,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
